 읍면동(법정동) ,등록주체_시군구,등록주체_대행업체,등록주체_기타(이벤트등),내장형 전자태그(RFID),외장형 전자태그(RFID),인식표 전자태그(RFID),등록품종수,동물소유자수,동물소유자당동물등록수
상동,11,1362,0,414,856,103,72,1002,1.37
성동,1,24,0,6,17,2,11,15,1.67
중동,10,878,1,277,551,61,53,659,1.35
파동,5,756,2,258,436,69,49,565,1.35
가천동,0,11,0,4,6,1,9,11,1
고모동,0,14,0,7,5,2,9,10,1.4
노변동,4,266,0,91,156,23,33,211,1.28
대흥동,29,34,1,13,20,31,9,18,3.56
두산동,22,1502,1,566,802,157,67,1070,1.43
만촌동,33,3278,5,1271,1606,439,90,2608,1.27
매호동,6,661,0,179,445,43,48,546,1.22
범물동,16,1582,1,463,715,421,63,1238,1.29
범어동,41,3793,1,1575,1961,299,88,2999,1.28
사월동,12,526,0,158,345,35,39,419,1.28
삼덕동,1,38,0,27,8,4,17,20,1.95
시지동,13,826,0,241,523,75,54,690,1.22
신매동,15,1279,0,355,842,97,55,1069,1.21
연호동,0,40,0,19,20,1,20,33,1.21
욱수동,8,193,0,62,120,19,35,167,1.2
이천동,0,31,0,9,20,2,8,22,1.41
지산동,32,2659,0,890,1373,428,79,2071,1.3
황금동,24,2191,3,870,1157,191,77,1727,1.28
수성동1가,12,876,0,339,491,58,51,706,1.26
수성동2가,3,239,0,79,141,22,36,181,1.34
수성동3가,3,519,0,217,281,24,40,425,1.23
수성동4가,14,827,0,302,479,60,53,641,1.31
