법정동,등록동물수,시군구등록,대행업체등록,기타등록,내장형(RFID),외장형(RFID),인식표(RFID),등록품종수,등록소유자수,동물소유자당등록동물수,데이터기준일자
본동,983,15,968,0,374,522,87,45,705,1.39,2023-12-28
장동,19,0,19,0,8,9,2,10,14,1.36,2023-12-28
갈산동,39,0,39,0,15,24,0,16,25,1.56,2023-12-28
감삼동,2236,6,2229,1,776,1292,168,64,1672,1.34,2023-12-28
대곡동,1130,22,1108,0,460,606,64,49,881,1.28,2023-12-28
대천동,369,7,362,0,128,204,37,41,292,1.26,2023-12-28
도원동,1944,12,1930,2,725,1001,218,55,1569,1.24,2023-12-28
두류동,1741,17,1724,0,628,941,172,72,1284,1.36,2023-12-28
본리동,1457,4,1453,0,610,768,79,59,1119,1.30,2023-12-28
상인동,4103,44,4059,0,1389,2071,643,82,3252,1.26,2023-12-28
성당동,1614,18,1595,1,540,832,242,69,1232,1.31,2023-12-28
송현동,2815,33,2779,3,1175,1307,333,71,2114,1.33,2023-12-28
신당동,1273,6,1267,0,441,709,123,54,958,1.33,2023-12-28
용산동,3077,31,3046,0,989,1786,302,81,2477,1.24,2023-12-28
월성동,3065,19,3046,0,1110,1732,223,63,2430,1.26,2023-12-28
월암동,34,0,34,0,11,17,6,12,27,1.26,2023-12-28
유천동,1029,10,1019,0,430,528,71,53,833,1.24,2023-12-28
이곡동,2132,19,2113,0,726,1144,262,64,1730,1.23,2023-12-28
장기동,944,8,936,0,345,534,65,54,748,1.26,2023-12-28
죽전동,669,8,661,0,244,385,40,47,500,1.34,2023-12-28
진천동,1889,14,1875,0,693,1010,186,64,1488,1.27,2023-12-28
파호동,439,7,432,0,133,259,47,38,333,1.32,2023-12-28
호림동,7,0,7,0,1,5,1,5,5,1.40,2023-12-28
호산동,509,5,504,0,199,275,35,48,377,1.35,2023-12-28
,,,,,,,,,,,
